"year4","tot.abund"
1984,9348
1984,24867
1984,12951
1984,6517
1984,20680
1984,7921
1984,4719
1984,7089
1984,5805
1984,6480
1984,4488
1984,7028
1984,3319
1984,5075
1985,5792
1985,15020
1985,25680
1985,23677.5
1985,15296.5
1985,17122
1985,20676.5
1985,29945
1985,20769
1985,22305
1985,33228
1985,16167.5
1985,16905.5
1985,28867
1985,6544.5
1985,8433.5
1985,6356.5
1985,6028.5
1986,8471
1986,37800.5
1986,7042
1986,8736.5
1986,5630
1986,15221.5
1986,10733
1986,9417
1986,5234
1986,3836.5
1986,1844
1986,4789.5
1986,3698
1986,1861.5
1986,2547.5
1986,1062
1987,5732.5
1987,11223
1987,22166
1987,17523
1987,19962.5
1987,21805
1987,18651
1987,18386.5
1987,17217
1987,17582
1987,23939
1987,17003.5
1987,19554
1987,9220.5
1987,7743
1987,8168.5
1988,7926.5
1988,7732
1988,10196.5
1988,11307.5
1988,15330
1988,20906
1988,18242.5
1988,14810
1988,11817.5
1988,8847.5
1988,11019.9
1988,19274.5
1988,10830
1988,18727
1988,12557.1
1988,9077
1989,7339.5
1989,4361.5
1989,17551.5
1989,19239
1989,27669.5
1989,27360.5
1989,22216.5
1989,24381.5
1989,27223
1989,12623.5
1989,29404.5
1989,8216
1989,8222.5
1989,13465.5
1989,17458.5
1989,22562
1989,8605.5
1990,9531
1990,7521
1990,9634
1990,18038.5
1990,19368
1990,17420
1990,12382
1990,7770
1990,21339
1990,31583
1990,20647
1990,18965
1990,21993
1990,24125
1990,7987.5
1990,10902
1990,5181.5
1990,3751
1991,3622
1991,6167.5
1991,4622
1991,6367
1991,4380.5
1991,3628.5
1991,4806.5
1991,2179.5
1991,3419.5
1991,3046
1991,2341.5
1991,4757.5
1991,4373
1991,4571
1991,5081.5
1991,4476.5
1992,10576
1992,14363.5
1992,18462
1992,12215
1992,12731.5
1992,12198
1992,6900.5
1992,14908
1992,16165.5
1992,21108.5
1992,19221.5
1992,16988.5
1992,13930.5
1992,11149.5
1992,12225.5
1992,17216
1992,14289.5
1993,14919.2
1993,9605.4
1993,4506.1
1993,8942.2
1993,6548.9
1993,6325.1
1993,6348
1993,5501.8
1993,8002.1
1993,9512.3
1993,15829.9
1993,18173
1993,19309.8
1993,18821.1
1993,24091.9
1993,37841
1993,35699.5
1994,15305.5
1994,7086
1994,5688.3
1994,9429.5
1994,12575.6
1994,23681.1
1994,15008.6
1994,23484
1994,23817.4
1994,23439.2
1994,43599.1
1994,43093.6
1994,10098.1
1994,32381.4
1994,21638.9
1994,12733
1994,8919.2
1995,15901.2
1995,14393.1
1995,14973.8
1995,21160
1995,9241.3
1995,9200.3
1995,18804.4
1995,26475.9
1995,32308.9
1995,30243.6
1995,28258
1995,28570.4
1995,33928.2
1995,36233.6
1995,28771.1
1995,18237.8
1996,NA
1996,NA
1996,NA
1996,NA
1996,NA
1996,NA
1996,NA
1996,NA
1996,NA
1996,NA
1996,NA
1996,NA
1996,NA
1996,NA
1996,NA
1997,NA
1997,NA
1997,NA
1997,NA
1997,NA
1997,NA
1997,NA
1997,NA
1997,NA
1997,NA
1997,NA
1997,NA
1997,NA
